R [20260828 194628][14.074] CQ W0ADE DN40 20 831
R [20260828 194628][14.074] K0WML W5TRL EM10 18 2256
R [20260828 194628][14.074] KB9ZM W7KR +02 14 1562
R [20260828 194628][14.074] ZB2FTY K0SH EN23 16 1862
R [20260828 194628][14.074] N5FMP KK7MEH CN87 6 1769
R [20260828 194628][14.074] W9MDM K4YT -13 0 2731
R [20260828 194629][14.074] K0WLY AI6K 73 -12 2844
T [20260828 194630][14.074] CQ POTA N6HAN CM87 1168
R [20260828 194657][14.074] N8DPD K0DTM -19 -1 2194
R [20260828 194658][14.074] CQ W0ADE DN40 20 838
R [20260828 194658][14.074] N6HAN KG7MYX -09 18 2119
R [20260828 194658][14.074] KB9ZM W7KR RR73 9 1562
R [20260828 194658][14.074] K0WML W5TRL EM10 9 2256
R [20260828 194658][14.074] W9MDM K4YT RR73 -1 2731
R [20260828 194658][14.074] Z62NS W7TUS DM42 24 650
R [20260828 194658][14.074] N5FMP KK7MEH CN87 7 1775
R [20260828 194658][14.074] ZB2FTY K0SH EN23 -1 1862
R [20260828 194659][14.074] RI1FJL VE3OP FN25 6 1350
R [20260828 194659][14.074] ZB2FTY KJ5MPL -11 9 725
R [20260828 194659][14.074] Z62NS KI4DRA -08 0 375
R [20260828 194659][14.074] N8TEE AI5OS EM10 24 1494
R [20260828 194659][14.074] W8MPY K5MGY EM12 -5 2612
R [20260828 194659][14.074] <...> WB5N EL09 4 1438
R [20260828 194700][14.074] W1TF K0BHB EN34 18 1994
T [20260828 194700][14.074] KG7MYX N6HAN R+18 1196
R [20260828 194727][14.074] N6HAN KG7MYX RRR 14 2119
R [20260828 194728][14.074] N8DPD K0DTM -19 1 2194
R [20260828 194728][14.074] N5FMP KK7MEH CN87 15 1769
R [20260828 194728][14.074] ZB2FTY K0SH EN23 12 1862
R [20260828 194728][14.074] RI1FJL VE3OP FN25 7 1350
R [20260828 194728][14.074] W0SS KI7DAN R+13 0 2388
R [20260828 194728][14.074] NO0X N9WHM EN12 14 2319
R [20260828 194728][14.074] W9MDM K4YT RR73 -2 2731
R [20260828 194728][14.074] Z62NS AC0DH EN34 14 794
R [20260828 194729][14.074] W1TF K0BHB EN34 18 1994
R [20260828 194729][14.074] NO0X W5TRL EM10 2 2256
R [20260828 194729][14.074] K6HGF KI5YNZ -10 18 1012
R [20260828 194729][14.074] N8TEE AI5OS EM10 6 1494
R [20260828 194730][14.074] W8MPY K5MGY R-12 -19 2612
R [20260828 194730][14.074] CQ KM7FBY DM33 6 644
T [20260828 194730][14.074] KG7MYX N6HAN 73 1771
R [20260828 194757][14.074] NO0X W5TRL R+09 -12 2256
R [20260828 194758][14.074] KC8ZKS KE0RVP DM79 4 588
R [20260828 194758][14.074] ZB2FTY K0SH EN23 6 1862
R [20260828 194758][14.074] N6HAN KG7MYX 73 13 2119
R [20260828 194758][14.074] CQ K4YT FM19 -4 2731
R [20260828 194758][14.074] NO0X KK7MEH CN87 16 1769
R [20260828 194758][14.074] NO0X N9WHM EN12 14 2319
R [20260828 194759][14.074] W0SS KI7DAN 73 -12 2388
R [20260828 194759][14.074] W1TF K0BHB EN34 13 1994
R [20260828 194759][14.074] N8DPD K0DTM -19 -2 2194
R [20260828 194759][14.074] Z62NS AE5FM EM13 4 700
R [20260828 194759][14.074] RI1FJL VE3OP FN25 -4 1350
R [20260828 194759][14.074] N8TEE AI5OS EM10 24 1494
R [20260828 194759][14.074] W8MPY K5MGY 73 3 2612
T [20260828 194800][14.074] CQ POTA N6HAN CM87 541
R [20260828 194827][14.074] NO0X W5TRL 73 10 2256
R [20260828 194827][14.074] CQ K4YT FM19 -5 2731
R [20260828 194828][14.074] W1TF K0BHB EN34 -10 1856
R [20260828 194828][14.074] NO0X N8KHG EM30 10 1050
R [20260828 194828][14.074] CQ W7KR DN17 6 1562
